Province_State,confirmed,deaths,American_Indian_and_Alaska_Native_alone,Asian_alone,Black_or_African_American_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Total_Population,Two_or_more_races,White_alone,IncomeTwenty,Latitude,Longitude
Alabama,436087,6486,23265,66129,1319551,1892,74451,4903185,91522,3326375,230861,32.6010112,-86.6807365
Alaska,52926,254,115544,43678,22551,9923,12602,731545,57476,469771,47365,61.3025006,-158.7750198
Arizona,708041,12001,332273,241721,343729,14168,364442,7278717,280574,5701810,363274,34.1682185,-111.930907
Arkansas,281382,4549,17216,46078,467468,12829,75590,3017804,83603,2315020,142765,34.7519275,-92.1313784
California,3147207,36362,321112,5865435,2282144,155871,5424558,39512223,1978145,23484958,2814011,37.2718745,-119.2704153
Colorado,383008,5462,57578,188461,240538,7756,209081,5758736,232943,4822379,368920,38.9979339,-105.550567
Connecticut,237815,6819,9052,166393,396745,1155,200646,3565287,131068,2660228,283747,41.5187835,-72.757507
Delaware,73233,1252,4353,36592,219418,428,23087,973764,30167,659719,56019,39.145251,-75.4189206
District of Columbia,34905,867,1886,28722,320704,190,30868,705749,23321,300058,62061,38.8993487,-77.0145666
Florida,1627603,25011,59558,599799,3441062,16162,719525,21477737,631552,16010079,1202648,27.9757279,-83.8330166
Georgia,853173,13060,42316,439416,3390968,6947,321656,10617423,284421,6131699,547976,32.6781248,-83.2229757
Hawaii,25658,332,6129,547843,26923,152601,24697,1415872,316468,341211,85446,20.46,-157.505
Idaho,158798,1667,22867,25969,12708,2475,67428,1787065,58700,1596918,88816,45.4945756,-114.1424303
Illinois,1093375,20534,32600,717992,1790212,4511,730514,12671821,351933,9044059,792729,39.739318,-89.504139
Indiana,605426,10903,18416,170566,643105,3254,150696,6732219,174283,5571899,346802,39.7662195,-86.441277
Iowa,311695,4478,11837,76134,129335,2029,31951,3155070,68248,2835536,174685,41.9383166,-93.389798
Kansas,268908,3587,23860,87018,167237,2453,87073,2913314,108771,2436902,163385,38.4987789,-98.3200779
Kentucky,340778,3337,8326,73087,363167,4212,41032,4467673,104158,3873691,208222,37.8222935,-85.7682399
Louisiana,380255,8483,28561,81506,1504017,971,65888,4648794,93067,2874784,232437,30.9733766,-91.4299097
Maine,36274,540,9419,15323,21983,222,5442,1344212,28536,1263287,73212,45.2185133,-69.0148656
Maryland,336915,6792,19164,386194,1830059,2453,305343,6045680,205558,3296909,413359,38.8063524,-77.2684162
Massachusetts,491452,13987,17875,472895,543629,2998,299262,6892503,250459,5305385,549565,42.0629398,-71.718067
Michigan,594920,14951,57785,327230,1371069,2078,114190,9986857,302340,7812165,528093,44.9435598,-86.4158049
Minnesota,452268,6100,57414,285630,370291,2753,109373,5639632,186583,4627588,348152,46.4418595,-93.3655146
Mississippi,261167,5713,14634,31154,1130608,175,28944,2976149,43664,1726970,123850,32.5851062,-89.8772196
Missouri,514216,6823,25516,127154,703058,10214,76294,6137428,172253,5022939,314818,38.3046615,-92.437099
Montana,91049,1104,67603,8927,7787,224,7297,1068778,36517,940423,57626,46.6797995,-110.044783
Nebraska,186255,1878,18964,47740,94659,1850,51049,1934408,53383,1666763,112266,41.5008195,-99.680902
Nevada,268212,3958,42426,261159,296184,22587,324476,3080156,144208,1989116,168319,38.502032,-117.0230604
New Hampshire,61206,971,1727,35807,22000,713,10683,1359711,30205,1258576,90745,44.0012306,-71.5799231
New Jersey,650389,20875,18440,856561,1203843,3254,571368,8882190,264429,5964295,668354,40.1430058,-74.7311156
New Mexico,167731,3077,199341,36549,48337,924,189281,2096829,72444,1549953,96476,34.1662325,-106.0260685
New York,1309403,41974,73560,1680219,3084304,8277,1664223,19453561,649298,12293680,1460860,40.7056258,-73.97968
North Carolina,705535,8464,126708,309905,2253481,6878,351465,10488084,295137,7144510,530956,35.2145629,-79.8912675
North Dakota,96565,1428,40970,10669,22256,2792,6320,762062,25145,653910,45450,47.4678819,-100.3022655
Ohio,853982,16325,23544,274585,1467331,5274,122375,11689100,343341,9452650,623207,40.1903624,-82.6692525
Oklahoma,365992,3187,316929,89950,287414,4808,91920,3956971,300165,2865785,196051,35.3097654,-98.7165585
Oregon,136839,1865,50417,194068,77918,14182,149974,4217737,207325,3523853,240771,44.1419049,-120.5380993
Pennsylvania,798438,20269,27088,453662,1454753,4148,335838,12801989,332708,10193792,795093,40.9945928,-77.6046984
Rhode Island,109735,2248,3341,37101,78143,250,62236,1059361,44600,833690,64313,41.5827282,-71.5064508
South Carolina,409188,6404,18971,86571,1362917,7572,112685,5148714,125531,3434467,247869,33.62505,-80.9470381
South Dakota,106716,1684,75809,11530,20866,2073,5919,884659,24698,743764,51128,44.2126995,-100.2471641
Tennessee,701847,8777,20431,125742,1141304,3469,109072,6829174,156246,5272910,348109,35.830521,-85.9785989
Texas,2227789,34381,144993,1446073,3553922,27026,1714614,28995881,835927,21273326,1610182,31.1693363,-100.0768425
Utah,333118,1571,35368,76470,36918,30725,123376,3205958,103574,2799527,169810,39.4997605,-111.547028
Vermont,10759,169,2928,8603,9435,386,2153,623989,15367,585117,36560,43.8717545,-72.4477828
Virginia,463751,6002,23388,565643,1659908,5039,246663,8535519,320232,5714646,535727,38.0033855,-79.4587861
Washington,298249,4114,103882,684967,305924,50139,365395,7614893,453495,5651091,525643,38.8993487,-77.0145665
West Virginia,113615,1856,3601,14311,65925,399,7657,1792147,32250,1668004,80510,38.9201705,-80.1816905
Wisconsin,577991,6135,54577,167420,374747,4220,121082,5822434,137034,4963354,323635,44.7862968,-89.8267049
Wyoming,50583,571,13774,4633,7116,754,10799,578759,15823,525860,36840,43.000325,-107.5545669
